TARGET_CLASS,criterion,Coverage
org.jsoup.Connection,BRANCH,1.0
org.jsoup.package-info,BRANCH,1.0
org.jsoup.HttpStatusException,BRANCH,1.0
org.jsoup.internal.package-info,BRANCH,1.0
org.jsoup.internal.ConstrainableInputStream,BRANCH,0.95
org.jsoup.internal.Normalizer,BRANCH,1.0
org.jsoup.nodes.Element,BRANCH,0.48484848484848486
org.jsoup.nodes.package-info,BRANCH,1.0
org.jsoup.nodes.CDataNode,BRANCH,1.0
org.jsoup.nodes.PseudoTextElement,BRANCH,0.6666666666666666
org.jsoup.nodes.DataNode,BRANCH,1.0
org.jsoup.nodes.Entities,BRANCH,0.8157894736842105
org.jsoup.nodes.Document,BRANCH,0.8787878787878788
org.jsoup.nodes.FormElement,BRANCH,0.40625
org.jsoup.nodes.BooleanAttribute,BRANCH,1.0
org.jsoup.nodes.TextNode,BRANCH,0.9555555555555556
org.jsoup.nodes.LeafNode,BRANCH,1.0
org.jsoup.nodes.Node,BRANCH,0.9122807017543859
org.jsoup.nodes.Attribute,BRANCH,0.8688524590163934
org.jsoup.nodes.DocumentType,BRANCH,1.0
org.jsoup.nodes.Attributes,BRANCH,0.8247422680412371
org.jsoup.nodes.XmlDeclaration,BRANCH,0.9333333333333333
org.jsoup.nodes.Comment,BRANCH,0.875
org.jsoup.nodes.EntitiesData,BRANCH,1.0
org.jsoup.Jsoup,BRANCH,0.06666666666666667
org.jsoup.helper.W3CDom,BRANCH,1.0
org.jsoup.helper.DataUtil,BRANCH,0.3541666666666667
org.jsoup.helper.StringUtil,BRANCH,0.967032967032967
org.jsoup.helper.HttpConnection,BRANCH,0.16666666666666666
org.jsoup.helper.Validate,BRANCH,1.0
org.jsoup.helper.ChangeNotifyingArrayList,BRANCH,0.5833333333333334
org.jsoup.SerializationException,BRANCH,1.0
org.jsoup.parser.Tokeniser,BRANCH,0.6952380952380952
org.jsoup.parser.package-info,BRANCH,1.0
org.jsoup.parser.XmlTreeBuilder,BRANCH,0.8695652173913043
org.jsoup.parser.HtmlTreeBuilderState,BRANCH,0.20705346985210465
org.jsoup.parser.TokeniserState,BRANCH,0.017857142857142856
org.jsoup.parser.Token,BRANCH,1.0
org.jsoup.parser.HtmlTreeBuilder,BRANCH,0.9083665338645418
org.jsoup.parser.ParseSettings,BRANCH,0.8571428571428571
org.jsoup.parser.TokenQueue,BRANCH,0.9716312056737588
org.jsoup.parser.CharacterReader,BRANCH,0.9579439252336449
org.jsoup.parser.Parser,BRANCH,1.0
org.jsoup.parser.TreeBuilder,BRANCH,0.6923076923076923
org.jsoup.parser.Tag,BRANCH,0.8484848484848485
org.jsoup.parser.ParseError,BRANCH,1.0
org.jsoup.parser.ParseErrorList,BRANCH,1.0
org.jsoup.UncheckedIOException,BRANCH,1.0
org.jsoup.select.package-info,BRANCH,1.0
org.jsoup.select.Elements,BRANCH,0.9166666666666666
org.jsoup.select.Collector,BRANCH,1.0
org.jsoup.select.Selector,BRANCH,0.9444444444444444
org.jsoup.select.NodeFilter,BRANCH,1.0
org.jsoup.select.Evaluator,BRANCH,1.0
org.jsoup.select.StructuralEvaluator,BRANCH,1.0
org.jsoup.select.CombiningEvaluator,BRANCH,1.0
org.jsoup.select.NodeTraversor,BRANCH,0.9791666666666666
org.jsoup.select.QueryParser,BRANCH,0.869281045751634
org.jsoup.select.NodeVisitor,BRANCH,1.0
org.jsoup.examples.package-info,BRANCH,1.0
org.jsoup.examples.ListLinks,BRANCH,0.2857142857142857
org.jsoup.examples.Wikipedia,BRANCH,0.25
org.jsoup.examples.HtmlToPlainText,BRANCH,0.5833333333333334
org.jsoup.safety.package-info,BRANCH,1.0
org.jsoup.safety.Cleaner,BRANCH,0.5882352941176471
org.jsoup.safety.Whitelist,BRANCH,0.8877551020408163
org.jsoup.UnsupportedMimeTypeException,BRANCH,1.0
org.jsoup.Connection,BRANCH,0.0
org.jsoup.package-info,BRANCH,1.0
org.jsoup.HttpStatusException,BRANCH,1.0
org.jsoup.internal.package-info,BRANCH,1.0
org.jsoup.internal.ConstrainableInputStream,BRANCH,0.9
org.jsoup.internal.Normalizer,BRANCH,1.0
org.jsoup.nodes.Element,BRANCH,0.030303030303030304
org.jsoup.nodes.package-info,BRANCH,1.0
org.jsoup.nodes.CDataNode,BRANCH,1.0
org.jsoup.nodes.PseudoTextElement,BRANCH,0.6666666666666666
org.jsoup.nodes.DataNode,BRANCH,0.0
org.jsoup.nodes.Entities,BRANCH,0.09210526315789473
org.jsoup.nodes.Document,BRANCH,0.030303030303030304
org.jsoup.nodes.FormElement,BRANCH,0.3125
org.jsoup.nodes.BooleanAttribute,BRANCH,1.0
org.jsoup.nodes.TextNode,BRANCH,0.06666666666666667
org.jsoup.nodes.LeafNode,BRANCH,0.6
org.jsoup.nodes.Node,BRANCH,0.15789473684210525
org.jsoup.nodes.Attribute,BRANCH,0.04918032786885246
org.jsoup.nodes.DocumentType,BRANCH,1.0
org.jsoup.nodes.Attributes,BRANCH,0.29896907216494845
org.jsoup.nodes.XmlDeclaration,BRANCH,0.9333333333333333
org.jsoup.nodes.Comment,BRANCH,0.875
org.jsoup.nodes.EntitiesData,BRANCH,1.0
org.jsoup.Jsoup,BRANCH,0.06666666666666667
org.jsoup.helper.W3CDom,BRANCH,0.0
org.jsoup.helper.DataUtil,BRANCH,0.0
org.jsoup.helper.StringUtil,BRANCH,0.9560439560439561
org.jsoup.helper.HttpConnection,BRANCH,0.05
org.jsoup.helper.Validate,BRANCH,1.0
org.jsoup.helper.ChangeNotifyingArrayList,BRANCH,0.0
org.jsoup.SerializationException,BRANCH,1.0
org.jsoup.parser.Tokeniser,BRANCH,0.0
org.jsoup.parser.package-info,BRANCH,1.0
org.jsoup.parser.XmlTreeBuilder,BRANCH,0.0
org.jsoup.parser.HtmlTreeBuilderState,BRANCH,0.027303754266211604
org.jsoup.parser.TokeniserState,BRANCH,0.0
org.jsoup.parser.Token,BRANCH,1.0
org.jsoup.parser.HtmlTreeBuilder,BRANCH,0.00796812749003984
org.jsoup.parser.ParseSettings,BRANCH,1.0
org.jsoup.parser.TokenQueue,BRANCH,0.9574468085106383
org.jsoup.parser.CharacterReader,BRANCH,0.9579439252336449
org.jsoup.parser.Parser,BRANCH,0.08
org.jsoup.parser.TreeBuilder,BRANCH,0.07692307692307693
org.jsoup.parser.Tag,BRANCH,0.8484848484848485
org.jsoup.parser.ParseError,BRANCH,1.0
org.jsoup.parser.ParseErrorList,BRANCH,1.0
org.jsoup.UncheckedIOException,BRANCH,1.0
org.jsoup.select.package-info,BRANCH,1.0
org.jsoup.select.Elements,BRANCH,0.016666666666666666
org.jsoup.select.Collector,BRANCH,1.0
org.jsoup.select.Selector,BRANCH,0.9444444444444444
org.jsoup.select.NodeFilter,BRANCH,1.0
org.jsoup.select.Evaluator,BRANCH,1.0
org.jsoup.select.StructuralEvaluator,BRANCH,1.0
org.jsoup.select.CombiningEvaluator,BRANCH,1.0
org.jsoup.select.NodeTraversor,BRANCH,0.7916666666666666
org.jsoup.select.QueryParser,BRANCH,0.8888888888888888
org.jsoup.select.NodeVisitor,BRANCH,1.0
org.jsoup.examples.package-info,BRANCH,1.0
org.jsoup.examples.ListLinks,BRANCH,0.2857142857142857
org.jsoup.examples.Wikipedia,BRANCH,0.0
org.jsoup.examples.HtmlToPlainText,BRANCH,0.5
org.jsoup.safety.package-info,BRANCH,1.0
org.jsoup.safety.Cleaner,BRANCH,0.0
org.jsoup.safety.Whitelist,BRANCH,0.0
org.jsoup.UnsupportedMimeTypeException,BRANCH,1.0
